unit,month,revenue_million,tb_ptm,ckn,ckd_3t,ckd_6t,ckd_12t,sl_ptm_package
VNPT BLU,202601,3225.615,1128,755,173,43,157,1128
VNPT BLU,202602,1534.044,1052,825,125,35,69,1054
VNPT BLU,202603,2335.439,1142,800,183,60,100,1143
VNPT BLU,202604,2617.8,1071,762,144,46,121,1073
VNPT BLU,202605,3131.071,1471,1122,149,62,140,1473
VNPT BLU,202606,2067.24,1352,1037,168,65,79,1349
VNPT CNC,202601,2716.502,1293,1058,78,17,141,1294
VNPT CNC,202602,3000.871,1420,1172,70,18,164,1424
VNPT CNC,202603,2527.527,1554,1327,63,19,147,1556
VNPT CNC,202604,2977.338,1526,1285,56,22,166,1529
VNPT CNC,202605,2855.727,1733,1439,104,24,166,1733
VNPT CNC,202606,2458.201,1852,1609,100,15,128,1852
VNPT GRI,202601,2090.904,681,519,33,24,115,691
VNPT GRI,202602,1327.724,669,539,38,33,64,674
VNPT GRI,202603,1788.255,772,593,60,29,100,782
VNPT GRI,202604,4492.926,817,498,42,42,241,823
VNPT GRI,202605,5320.922,1105,767,20,33,288,1108
VNPT GRI,202606,2360.159,992,788,48,37,120,993
VNPT HBH,202601,706.194,350,305,4,3,42,354
VNPT HBH,202602,220.319,370,350,5,5,18,378
VNPT HBH,202603,655.798,488,446,2,1,39,488
VNPT HBH,202604,454.3815,441,413,3,3,23,442
VNPT HBH,202605,1704.396,646,548,5,2,93,648
VNPT HBH,202606,482.7765,510,481,1,2,26,510
VNPT NCN,202601,1039.284,434,214,153,28,39,434
VNPT NCN,202602,1138.514,442,220,148,32,42,442
VNPT NCN,202603,1429.499,554,317,136,46,55,554
VNPT NCN,202604,1996.488,611,261,173,106,71,611
VNPT NCN,202605,2394.391,833,375,247,127,85,834
VNPT NCN,202606,2232.455,761,318,241,130,72,761
VNPT PLG,202601,1643.778,405,306,4,10,86,406
VNPT PLG,202602,1754.147,598,491,5,10,94,600
VNPT PLG,202603,1747.989,630,509,17,12,93,631
VNPT PLG,202604,2950.402,638,459,9,12,158,638
VNPT PLG,202605,3489.918,799,599,4,7,189,799
VNPT PLG,202606,2640.229,654,508,1,2,143,654
VNPT TTH,202601,3076.743,1936,1088,636,117,95,1936
VNPT TTH,202602,2633.605,1855,1000,671,121,64,1856
VNPT TTH,202603,3161.773,1901,986,678,149,88,1901
VNPT TTH,202604,4053.304,1831,884,640,183,123,1830
VNPT TTH,202605,4587.531,2221,972,920,191,140,2223
VNPT TTH,202606,3156.308,2563,1282,1029,204,48,2563
VNPT TVT,202601,2367.692,1678,1113,450,23,92,1678
VNPT TVT,202602,2454.677,1839,1257,476,15,94,1842
VNPT TVT,202603,1848.947,1721,1276,360,18,68,1722
VNPT TVT,202604,2758.729,1736,1104,506,17,109,1736
VNPT TVT,202605,2685.955,2242,1463,664,26,90,2243
VNPT TVT,202606,2362.648,2221,1325,813,18,65,2221
VNPT UMH,202601,1168.678,924,732,120,26,46,924
VNPT UMH,202602,1336.214,1071,893,100,17,61,1071
VNPT UMH,202603,1446.677,1086,864,145,12,65,1086
VNPT UMH,202604,1415.138,1012,838,92,20,62,1012
VNPT UMH,202605,2684.855,1494,1145,204,22,123,1494
VNPT UMH,202606,1297.075,1409,1151,194,16,48,1409
