unit,code,kpi,target_type,month,plan_value
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục TCT,KH TCT - Doanh thu,202601,542
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục TCT,KH TCT - Doanh thu,202602,542.1
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục TCT,KH TCT - Doanh thu,202603,722.7
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục TCT,KH TCT - Doanh thu,202604,650.5
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục TCT,KH TCT - Doanh thu,202605,686.6
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục TCT,KH TCT - Doanh thu,202606,686.5
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202601,396.2
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202602,354.1
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202603,396.2
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202604,420.8
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202605,420.8
VNPT BLU,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202606,420.8
VNPT BLU,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202601,2006
VNPT BLU,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202602,1806
VNPT BLU,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202603,2006
VNPT BLU,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202604,2012
VNPT BLU,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202605,2012
VNPT BLU,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202606,2012
VNPT BLU,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202601,80
VNPT BLU,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202602,80
VNPT BLU,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202603,80
VNPT BLU,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202604,80
VNPT BLU,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202605,80
VNPT BLU,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202606,80
VNPT CNC,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202601,610.7
VNPT CNC,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202602,610.8
VNPT CNC,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202603,814.3
VNPT CNC,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202604,732.9
VNPT CNC,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202605,773.6
VNPT CNC,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202606,773.5
VNPT CNC,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202601,446.5
VNPT CNC,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202602,399.1
VNPT CNC,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202603,446.5
VNPT CNC,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202604,474.1
VNPT CNC,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202605,474.1
VNPT CNC,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202606,474.1
VNPT CNC,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202601,2261
VNPT CNC,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202602,2035
VNPT CNC,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202603,2261
VNPT CNC,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202604,2267
VNPT CNC,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202605,2267
VNPT CNC,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202606,2267
